is_active,level,created_at,id,updated_at,site,tags,tier,title,url
true,5,2025-06-18 09:46:32.889930,1,2025-06-18 09:46:32.889930,프로그래머스,"",Lv.5,문자열과 알파벳과 쿼리,https://school.programmers.co.kr/learn/courses/30/lessons/389632
true,5,2025-06-18 09:46:33.025019,2,2025-06-18 09:46:33.025019,프로그래머스,"",Lv.5,눈사람 만들기,https://school.programmers.co.kr/learn/courses/30/lessons/389631
true,4,2025-06-18 09:46:33.099587,3,2025-06-18 09:46:33.099587,프로그래머스,"",Lv.4,격자 뒤집기 미로,https://school.programmers.co.kr/learn/courses/30/lessons/389630
true,4,2025-06-18 09:46:33.164382,4,2025-06-18 09:46:33.164382,프로그래머스,"",Lv.4,가장 큰 삼각형 덩어리,https://school.programmers.co.kr/learn/courses/30/lessons/389629
true,3,2025-06-18 09:46:33.229147,5,2025-06-18 09:46:33.229147,프로그래머스,"",Lv.3,봉인된 주문,https://school.programmers.co.kr/learn/courses/30/lessons/389481
true,2,2025-06-18 09:46:33.321167,6,2025-06-18 09:46:33.321167,프로그래머스,"",Lv.2,완전범죄,https://school.programmers.co.kr/learn/courses/30/lessons/389480
true,2,2025-06-18 09:46:33.380465,7,2025-06-18 09:46:33.380465,프로그래머스,"",Lv.2,서버 증설 횟수,https://school.programmers.co.kr/learn/courses/30/lessons/389479
true,1,2025-06-18 09:46:33.433159,8,2025-06-18 09:46:33.433159,프로그래머스,"",Lv.1,택배 상자 꺼내기,https://school.programmers.co.kr/learn/courses/30/lessons/389478
true,3,2025-06-18 09:46:33.482487,9,2025-06-18 09:46:33.482487,프로그래머스,"",Lv.3,홀짝트리,https://school.programmers.co.kr/learn/courses/30/lessons/388354
true,2,2025-06-18 09:46:33.545354,10,2025-06-18 09:46:33.545354,프로그래머스,"",Lv.2,지게차와 크레인,https://school.programmers.co.kr/learn/courses/30/lessons/388353
true,2,2025-06-18 09:46:33.630514,11,2025-06-18 09:46:33.630514,프로그래머스,"",Lv.2,비밀 코드 해독,https://school.programmers.co.kr/learn/courses/30/lessons/388352
